site,dataset,start_year,end_year,latitude,longitude
CA-WP2,LaThuile,2004,2004,55.53749847,-112.3339996
CA-WP3,LaThuile,2004,2004,54.47000122,-113.3199997
CG-Tch,LaThuile,2006,2006,-4.289169788,11.65639973
CG-Tch,Berkeley,2006,2009,-4.2892,11.6564
CH-Cha,Berkeley,2005,2014,47.2102,8.4104
CH-Dav,Berkeley,1997,2014,46.8153,9.8559
CH-Fru,Berkeley,2005,2014,47.1158,8.5378
CH-Lae,Berkeley,2004,2014,47.4781,8.365
CH-Oe1,Berkeley,2002,2008,47.2858,7.7319
CH-Oe1,LaThuile,2002,2006,47.28559875,7.732140064
CH-Oe2,Berkeley,2004,2014,47.2863,7.7343
CH-Oe2,LaThuile,2005,2005,47.28630066,7.734330177
CN-Anh,LaThuile,2005,2006,33.0,117.0
CN-Bed,LaThuile,2005,2006,39.5306015,116.2519989
CN-Cha,LaThuile,2003,2003,42.40250015,128.095993
CN-Cha,Berkeley,2003,2005,42.4025,128.0958
CN-Cng,Berkeley,2007,2010,44.5934,123.5092
CN-Dan,Berkeley,2004,2005,30.4978,91.0664
CN-Din,Berkeley,2003,2005,23.1733,112.5361
CN-Do1,LaThuile,2005,2005,31.51670074,121.9609985
CN-Do2,LaThuile,2005,2005,31.58469963,121.9029999
CN-Do3,LaThuile,2005,2005,31.51689911,121.9720001
CN-Du1,LaThuile,2005,2006,42.04560089,116.6709976
CN-Du2,Berkeley,2006,2008,42.0467,116.2836
CN-Du2,LaThuile,2006,2006,42.04669952,116.2839966
CN-Du3,Berkeley,2009,2010,42.0551,116.2809
CN-Ha2,Berkeley,2003,2005,37.6086,101.3269
CN-HaM,LaThuile,2002,2004,37.36999893,101.1800003
CN-HaM,Berkeley,2002,2004,37.37,101.18
CN-Hny,LaThuile,2005,2006,29.30999947,112.5100021
CN-Ku1,LaThuile,2005,2006,40.53829956,108.6940002
CN-Ku2,LaThuile,2006,2006,40.38079834,108.5490036
CN-Qia,Berkeley,2003,2005,26.7414,115.0581
CN-Sw2,Berkeley,2010,2012,41.7902,111.8971
CN-Xfs,LaThuile,2004,2006,44.13416672,116.3286133
CN-Xi1,LaThuile,2006,2006,43.54583359,116.6777802
CN-Xi2,LaThuile,2006,2006,43.5544014,116.6709976
CZ-BK1,Berkeley,2004,2014,49.5021,18.5369
CZ-BK1,LaThuile,2000,2006,49.50260162,18.53840065
CZ-BK2,Berkeley,2004,2012,49.4944,18.5429
CZ-BK2,LaThuile,2004,2006,49.49530029,18.54470062
CZ-wet,LaThuile,2006,2006,49.02500153,14.77200031
CZ-wet,Berkeley,2006,2014,49.0247,14.7704
DE-Akm,Berkeley,2009,2014,53.8662,13.6834
DE-Bay,LaThuile,1996,1999,50.14189911,11.86690044
DE-Geb,LaThuile,2004,2006,51.10010147,10.91429996
DE-Geb,Berkeley,2001,2014,51.1001,10.9143
DE-Gri,Berkeley,2004,2014,50.9495,13.5125
DE-Gri,LaThuile,2005,2006,50.94950104,13.51249981
DE-Hai,Berkeley,2000,2012,51.0792,10.453
DE-Hai,LaThuile,2000,2006,51.07929993,10.45199966
DE-Har,LaThuile,2005,2006,47.93439865,7.600999832
DE-Kli,Berkeley,2004,2014,50.8929,13.5225
DE-Kli,LaThuile,2004,2006,50.89289856,13.52250004
DE-Lkb,Berkeley,2009,2013,49.0996,13.3047
DE-Lnf,Berkeley,2002,2012,51.3282,10.3678
DE-Meh,LaThuile,2003,2006,51.27529907,10.65550041
DE-Obe,Berkeley,2008,2014,50.7836,13.7196
DE-RuR,Berkeley,2011,2014,50.6219,6.3041
DE-RuS,Berkeley,2011,2014,50.8659,6.4472
DE-Seh,Berkeley,2007,2010,50.8706,6.4497
DE-SfN,Berkeley,2012,2014,47.8064,11.3275
DE-Spw,Berkeley,2010,2014,51.8923,14.0337
DE-Tha,LaThuile,1996,2006,50.96360016,13.56690025
DE-Tha,Berkeley,1996,2014,50.9636,13.5669
DE-Wet,LaThuile,2002,2006,50.45349884,11.45750046
DE-Zrk,Berkeley,2013,2014,53.8759,12.889
DK-Eng,Berkeley,2005,2008,55.6905,12.1918
DK-Fou,LaThuile,2005,2005,56.48419952,9.587220192
DK-Fou,Berkeley,2005,2005,56.4842,9.5872
DK-Lva,LaThuile,2005,2006,55.68330002,12.08329964
DK-NuF,Berkeley,2008,2014,64.1308,-51.3861
DK-Ris,LaThuile,2004,2005,55.53030014,12.09720039
DK-Sor,LaThuile,1996,2006,55.48690033,11.64579964
DK-Sor,Berkeley,1996,2014,55.4859,11.6446
DK-ZaF,Berkeley,2008,2011,74.4814,-20.5545
DK-ZaH,Berkeley,2000,2014,74.4732,-20.5503
ES-Amo,Berkeley,2007,2012,36.8336,-2.2523
ES-ES1,LaThuile,1999,2006,39.34600067,-0.318809986
ES-ES2,LaThuile,2004,2006,39.27550125,-0.315219998
ES-LJu,LaThuile,2004,2004,36.92819977,-2.750469923
ES-LJu,Berkeley,2004,2013,36.9266,-2.7521
ES-LMa,LaThuile,2004,2006,39.94150162,-5.773359776
ES-LgS,Berkeley,2007,2009,37.0979,-2.9658
ES-Ln2,Berkeley,2009,2009,36.9695,-3.4758
ES-VDA,LaThuile,2004,2006,42.15219879,1.448500037
FI-Hyy,Berkeley,1996,2014,61.8475,24.295
FI-Hyy,LaThuile,1996,2006,61.84740067,24.2947998
FI-Jok,Berkeley,2000,2003,60.8986,23.5135
FI-Kaa,LaThuile,2000,2006,69.14070129,27.29500008
FI-Let,Berkeley,2009,2012,60.6418,23.9597
FI-Lom,Berkeley,2007,2009,67.9972,24.2092
FI-Sii,LaThuile,2004,2005,61.83300018,24.19300079
FI-Sod,LaThuile,2000,2006,67.36190033,26.63780022
FI-Sod,Berkeley,2001,2014,67.3619,26.6378
FR-Aur,LaThuile,2005,2005,43.54940033,1.10777998
FR-Fon,Berkeley,2005,2014,48.4764,2.7801
FR-Fon,LaThuile,2005,2006,48.47629929,2.780149937
FR-Gri,LaThuile,2005,2006,48.84400177,1.95243001
FR-Gri,Berkeley,2004,2014,48.8442,1.9519
FR-Hes,LaThuile,1997,2006,48.67419815,7.064620018
FR-LBr,LaThuile,1996,2006,44.71709824,-0.769299984
FR-LBr,Berkeley,1996,2008,44.7171,-0.7693
FR-Lam,LaThuile,2005,2005,43.49330139,1.237220049
FR-Lq1,LaThuile,2004,2006,45.64410019,2.737030029
FR-Lq2,LaThuile,2004,2006,45.6391983,2.737030029
FR-Pue,LaThuile,2000,2006,43.74140167,3.595829964
FR-Pue,Berkeley,2000,2014,43.7414,3.5958
GF-Guy,LaThuile,2004,2006,5.277699947,-52.92879868
GF-Guy,Berkeley,2004,2014,5.2788,-52.9249
GH-Ank,Berkeley,2011,2014,5.2685,-2.6942
HU-Bug,LaThuile,2002,2006,46.69110107,19.60129929
HU-Mat,LaThuile,2004,2006,47.84690094,19.72599983
ID-Pag,LaThuile,2002,2003,2.345000029,114.0360031
IE-Ca1,LaThuile,2004,2006,52.85879898,-6.918139935
IE-Dri,LaThuile,2003,2005,51.98669815,-8.751810074
IL-Yat,LaThuile,2001,2006,31.34499931,35.05149841
IS-Gun,LaThuile,1996,1998,63.83330154,-20.2166996
IT-Amp,LaThuile,2002,2006,41.90409851,13.60519981
IT-BCi,LaThuile,2004,2006,40.5237999,14.95740032
IT-BCi,Berkeley,2004,2014,40.5238,14.9574
IT-Be2,LaThuile,2006,2006,46.00310135,13.02569962
IT-Bon,LaThuile,2006,2006,39.47779846,16.53470039
IT-CA1,Berkeley,2011,2014,42.3804,12.0266
IT-CA2,Berkeley,2011,2014,42.3772,12.026
IT-CA3,Berkeley,2011,2014,42.38,12.0222
IT-Cas,LaThuile,2006,2006,45.06284714,8.668539047
IT-Col,Berkeley,1996,2014,41.8494,13.5881
IT-Col,LaThuile,1996,2006,41.84939957,13.58810043
IT-Cp2,Berkeley,2012,2014,41.7043,12.3573
IT-Cpz,LaThuile,1997,2006,41.7052002,12.37609959
IT-Cpz,Berkeley,1997,2009,41.7052,12.3761
IT-Isp,Berkeley,2013,2014,45.8126,8.6336
IT-LMa,LaThuile,2003,2006,45.58129883,7.154630184
IT-La2,Berkeley,2000,2002,45.9542,11.2853
IT-Lav,LaThuile,2000,2006,45.95529938,11.28120041
IT-Lav,Berkeley,2003,2014,45.9562,11.2813
IT-Lec,LaThuile,2005,2006,43.30459976,11.27060032
IT-MBo,Berkeley,2003,2013,46.0147,11.0458
IT-MBo,LaThuile,2003,2006,46.0155983,11.04669952
IT-Mal,LaThuile,2003,2006,46.11669922,11.7027998
IT-Noe,Berkeley,2004,2014,40.6061,8.1515
IT-Noe,LaThuile,2004,2006,40.60599899,8.151000023
IT-Non,LaThuile,2001,2006,44.68980026,11.08870029
IT-PT1,LaThuile,2002,2004,45.20090103,9.061039925
IT-PT1,Berkeley,2002,2004,45.2009,9.061
IT-Pia,LaThuile,2002,2005,42.58390045,10.07839966
IT-Ren,Berkeley,1998,2013,46.5869,11.4337
IT-Ren,LaThuile,1999,2006,46.58779907,11.43470001
IT-Ro1,LaThuile,2000,2006,42.40810013,11.93000031
IT-Ro1,Berkeley,2000,2008,42.4081,11.93
IT-Ro2,LaThuile,2002,2006,42.39030075,11.92090034
IT-Ro2,Berkeley,2002,2012,42.3903,11.9209
IT-SR2,Berkeley,2013,2014,43.732,10.291
IT-SRo,LaThuile,1999,2006,43.7278595,10.28444004
IT-SRo,Berkeley,1999,2012,43.7279,10.2844
IT-Tor,Berkeley,2008,2014,45.8444,7.5781
IT-Vig,LaThuile,2004,2005,45.31666565,8.850000381
JP-MBF,Berkeley,2003,2005,44.3869,142.3186
JP-Mas,LaThuile,2002,2003,36.05397034,140.0269165
JP-SMF,Berkeley,2002,2006,35.2617,137.0788
JP-Tak,LaThuile,1999,2004,36.14619827,137.4230042
JP-Tef,LaThuile,2001,2005,45.05633926,142.1062012
JP-Tom,LaThuile,2001,2003,42.73949814,141.5148926
KR-Hnm,LaThuile,2004,2006,34.54999924,126.5699997
KR-Kw1,LaThuile,2004,2007,37.74860001,127.163002
MY-PSO,Berkeley,2003,2009,2.973,102.3062
NL-Ca1,LaThuile,2003,2006,51.97100067,4.927000046
NL-Haa,LaThuile,2003,2004,52.00310135,4.805500031
NL-Hor,Berkeley,2004,2011,52.2404,5.0713
NL-Hor,LaThuile,2004,2006,52.02890015,5.067500114
NL-Lan,LaThuile,2005,2006,51.95360184,4.902900219
NL-Loo,LaThuile,1996,2006,52.16790009,5.743959904
NL-Loo,Berkeley,1996,2014,52.1666,5.7436
NL-Lut,LaThuile,2006,2006,53.39889908,6.355999947
NL-Mol,LaThuile,2005,2006,51.65000153,4.638999939
NO-Adv,Berkeley,2011,2014,78.186,15.923
NO-Blv,Berkeley,2008,2009,78.9216,11.8311
PA-SPn,Berkeley,2007,2009,9.3181,-79.6346
PA-SPs,Berkeley,2007,2009,9.3138,-79.6314
PL-Wet,LaThuile,2004,2005,52.7621994,16.30940056
PT-Esp,LaThuile,2002,2006,38.63940048,-8.601799965
PT-Mi1,LaThuile,2003,2005,38.54069901,-8.00039959
PT-Mi2,LaThuile,2004,2006,38.47650146,-8.024550438
RU-Che,LaThuile,2002,2005,68.61470032,161.3390045
RU-Che,Berkeley,2002,2005,68.613,161.3414
RU-Cok,LaThuile,2003,2005,70.61669922,147.8829956
RU-Cok,Berkeley,2003,2014,70.8291,147.4943
RU-Fyo,LaThuile,1998,2006,56.46166992,32.92388916
RU-Fyo,Berkeley,1998,2014,56.4615,32.9221
RU-Ha1,Berkeley,2002,2004,54.7252,90.0022
RU-Ha1,LaThuile,2002,2004,54.72529984,90.00219727
RU-Ha2,LaThuile,2002,2003,54.77310181,89.95670319
RU-Ha3,LaThuile,2004,2004,54.7045517,89.07785034
RU-Sam,Berkeley,2002,2014,72.3733,126.4978
RU-SkP,Berkeley,2012,2014,62.255,129.168
RU-Tks,Berkeley,2010,2014,71.5943,128.8878
RU-Vrk,Berkeley,2008,2008,67.0547,62.9405
RU-Zot,LaThuile,2002,2004,60.80080032,89.35079956
SD-Dem,Berkeley,2005,2009,13.2829,30.4783
SE-Abi,LaThuile,2005,2005,68.36238861,18.79475021
SE-Deg,LaThuile,2001,2005,64.1832962,19.54999924
SE-Faj,LaThuile,2005,2006,56.26549911,13.55350018
SE-Fla,LaThuile,1996,2002,64.1128006,19.45689964
SE-Nor,LaThuile,1996,2005,60.08649826,17.47950363
SE-Sk1,LaThuile,2005,2005,60.125,17.91810036
SE-Sk2,LaThuile,2004,2005,60.12966919,17.84005928
SE-St1,LaThuile,2006,2006,68.36669922,19.04969406
SE-St1,Berkeley,2012,2014,68.3541,19.0503
SK-Tat,LaThuile,2005,2005,49.12080002,20.16349983
SN-Dhr,Berkeley,2010,2013,15.4028,-15.4322
TW-Tar,LaThuile,2006,2007,24.03120041,120.6880035
UK-AMo,LaThuile,2005,2005,55.79169846,-3.238889933
UK-EBu,LaThuile,2004,2006,55.86600113,-3.205780029
UK-ESa,LaThuile,2003,2005,55.90694046,-2.858609915
UK-Gri,LaThuile,1997,2006,56.6072197,-3.79805994
UK-Ham,LaThuile,2004,2005,51.12080002,-0.860830009
UK-Her,LaThuile,2006,2006,51.78379822,-0.47608
UK-PL3,LaThuile,2005,2006,51.45000076,-1.266669989
UK-Tad,LaThuile,2001,2001,51.20709991,-2.828639984
US-AR1,Berkeley,2009,2012,36.4267,-99.42
US-AR2,Berkeley,2009,2012,36.6358,-99.5975
US-ARM,LaThuile,2003,2006,36.60580063,-97.48880005
US-ARM,Berkeley,2003,2012,36.6058,-97.4888
US-ARb,Berkeley,2005,2006,35.5497,-98.0402
US-ARb,LaThuile,2005,2006,35.54970169,-98.04019928
US-ARc,LaThuile,2005,2006,35.54648972,-98.04000092
US-ARc,Berkeley,2005,2006,35.5465,-98.04
US-Atq,LaThuile,1999,2006,70.46959686,-157.4089966
US-Atq,Berkeley,2003,2008,70.4696,-157.4089
US-Aud,LaThuile,2002,2006,31.59070015,-110.5100021
US-Bar,LaThuile,2004,2005,44.0646019,-71.28807831
US-Bkg,LaThuile,2004,2006,44.34529877,-96.8361969
US-Blo,LaThuile,1997,2006,38.89519882,-120.6327515
US-Blo,Berkeley,1997,2007,38.8953,-120.6328
US-Bn1,LaThuile,2003,2003,63.9197998,-145.378006
US-Bn2,LaThuile,2003,2003,63.9197998,-145.378006
US-Bn3,LaThuile,2003,2003,63.92269897,-145.7440033
US-Bo1,LaThuile,1996,2007,40.00619888,-88.29039764
US-Bo2,LaThuile,2004,2006,40.00899887,-88.29000092
US-Brw,LaThuile,1998,2002,71.32250214,-156.6259003
US-CRT,Berkeley,2011,2013,41.6285,-83.3471
US-CaV,LaThuile,2004,2005,39.06330109,-79.42079926
US-Cop,Berkeley,2001,2007,38.09,-109.39
US-Dk1,LaThuile,2001,2005,35.97119904,-79.09339905
US-Dk2,LaThuile,2003,2005,35.97359848,-79.10040283
US-Dk3,LaThuile,2001,2005,35.97819901,-79.09420013
US-FPe,LaThuile,2000,2006,48.30770111,-105.1018982
US-FR2,LaThuile,2004,2006,29.94949913,-97.99620056
US-Fmf,LaThuile,2005,2006,35.14260101,-111.7273026
US-Fuf,LaThuile,2005,2006,35.0890007,-111.762001
US-Fwf,LaThuile,2005,2006,35.44540024,-111.7717972
US-GBT,Berkeley,1999,2006,41.3658,-106.2397
US-GLE,Berkeley,2004,2014,41.3665,-106.2399
US-Goo,Berkeley,2002,2006,34.2547,-89.8735
US-Goo,LaThuile,2002,2006,34.25469971,-89.87349701
US-Ha1,LaThuile,1991,2006,42.53779984,-72.17150116
US-Ha1,Berkeley,1991,2012,42.5378,-72.1715
US-Ha2,LaThuile,2004,2004,42.53929901,-72.17790222
US-Ho1,LaThuile,1996,2004,45.20410156,-68.74019623
US-Ho2,LaThuile,1999,2004,45.20909882,-68.74700165
US-IB1,LaThuile,2005,2007,41.85929871,-88.22270203
US-IB2,LaThuile,2004,2007,41.84059906,-88.24099731
US-IB2,Berkeley,2004,2011,41.8406,-88.241
US-Ivo,Berkeley,2004,2007,68.4865,-155.7503
US-Ivo,LaThuile,2003,2006,68.4865036,-155.75
US-KS1,LaThuile,2002,2002,28.45829964,-80.67089844
US-KS1,Berkeley,2002,2002,28.4583,-80.6709
US-KS2,Berkeley,2003,2006,28.6086,-80.6715
US-KS2,LaThuile,2000,2006,28.60860062,-80.67150116
US-LPH,LaThuile,2002,2005,42.54190063,-72.18499756
US-LWW,Berkeley,1997,1998,34.9604,-97.9789
US-Lin,Berkeley,2009,2010,36.3566,-119.8423
US-Los,LaThuile,2001,2005,46.08269882,-89.97920227
US-Los,Berkeley,2000,2014,46.0827,-89.9792
US-MMS,LaThuile,1999,2005,39.32310104,-86.4131012
US-MMS,Berkeley,1999,2014,39.3232,-86.4131
US-MOz,LaThuile,2004,2006,38.74409866,-92.19999695
US-Me1,Berkeley,2004,2005,44.5794,-121.5
US-Me1,LaThuile,2004,2005,44.57939911,-121.5
US-Me2,Berkeley,2002,2014,44.4523,-121.5574
US-Me2,LaThuile,2003,2005,44.45230103,-121.5574036
US-Me3,LaThuile,2004,2005,44.31539917,-121.6078033
US-Me3,Berkeley,2004,2009,44.3154,-121.6078
US-Me4,LaThuile,1996,2000,44.49919891,-121.6223984
US-Me4,Berkeley,1996,2000,44.4992,-121.6224
US-Me5,Berkeley,2000,2002,44.4372,-121.5668
US-Me6,Berkeley,2010,2014,44.3233,-121.6078
US-Myb,Berkeley,2010,2014,38.0498,-121.7651
US-NC1,LaThuile,2005,2006,35.81150055,-76.71150208
US-NC2,LaThuile,2005,2006,35.80310059,-76.66790009
US-NR1,LaThuile,1999,2003,40.03290176,-105.5459976
US-NR1,Berkeley,1998,2014,40.0329,-105.5464
US-Ne1,Berkeley,2001,2013,41.1651,-96.4766
US-Ne1,LaThuile,2001,2005,41.1651001,-96.47660065
US-Ne2,LaThuile,2001,2005,41.16490173,-96.4701004
US-Ne2,Berkeley,2001,2013,41.1649,-96.4701
US-Ne3,Berkeley,2001,2013,41.1797,-96.4397
US-Ne3,LaThuile,2001,2005,41.17969894,-96.43969727
US-ORv,Berkeley,2011,2011,40.0201,-83.0183
US-Oho,Berkeley,2004,2013,41.5545,-83.8438
US-Oho,LaThuile,2004,2005,41.55450058,-83.84380341
US-PFa,Berkeley,1995,2014,45.9459,-90.2723
US-PFa,LaThuile,1996,2003,45.94589996,-90.27230072
US-Prr,Berkeley,2010,2014,65.1237,-147.4876
US-SO2,LaThuile,1997,2006,33.37390137,-116.6228867
US-SO3,LaThuile,1997,2006,33.37720108,-116.6226883
US-SO4,LaThuile,2004,2006,33.38439941,-116.6402512
US-SP1,LaThuile,2000,2005,29.73810005,-82.21880341
US-SP2,LaThuile,1998,2004,29.76479912,-82.24479675
US-SP3,LaThuile,1999,2004,29.7548008,-82.16329956
US-SP4,LaThuile,1998,1998,29.80279922,-82.20310211
US-SRC,Berkeley,2008,2014,31.9083,-110.8395
US-SRG,Berkeley,2008,2014,31.7894,-110.8277
US-SRM,Berkeley,2004,2014,31.8214,-110.8661
US-SRM,LaThuile,2004,2006,31.82139969,-110.8659973
US-Sta,Berkeley,2005,2009,41.3966,-106.8024
US-Syv,Berkeley,2001,2014,46.242,-89.3477
US-Syv,LaThuile,2002,2006,46.24200058,-89.34770203
US-Ton,Berkeley,2001,2014,38.4316,-120.966
US-Ton,LaThuile,2001,2006,38.43159866,-120.9660034
US-Tw1,Berkeley,2012,2014,38.1074,-121.6469
US-Tw2,Berkeley,2012,2013,38.1047,-121.6433
US-Tw3,Berkeley,2013,2014,38.1159,-121.6467
US-Tw4,Berkeley,2013,2014,38.103,-121.6414
US-Twt,Berkeley,2009,2014,38.1087,-121.653
US-UMB,Berkeley,2000,2014,45.5598,-84.7138
US-UMB,LaThuile,1999,2003,45.55979919,-84.71379852
US-UMd,Berkeley,2007,2014,45.5625,-84.6975
US-Var,Berkeley,2000,2014,38.4133,-120.9507
US-Var,LaThuile,2001,2006,38.41329956,-120.9507294
US-WBW,LaThuile,1995,1999,35.95880127,-84.28739929
US-WCr,LaThuile,1999,2006,45.80590057,-90.07990265
US-WCr,Berkeley,1999,2014,45.8059,-90.0799
US-WPT,Berkeley,2011,2013,41.4646,-82.9962
US-Whs,Berkeley,2007,2014,31.7438,-110.0522
US-Wi0,LaThuile,2002,2002,46.61880112,-91.08139801
US-Wi0,Berkeley,2002,2002,46.6188,-91.0814
US-Wi1,LaThuile,2003,2003,46.73049927,-91.23290253
US-Wi1,Berkeley,2003,2003,46.7305,-91.2329
US-Wi2,Berkeley,2003,2003,46.6869,-91.1528
US-Wi2,LaThuile,2003,2003,46.68690109,-91.15280151
US-Wi3,Berkeley,2002,2004,46.6347,-91.0987
US-Wi4,Berkeley,2002,2005,46.7393,-91.1663
US-Wi4,LaThuile,2002,2005,46.73929977,-91.16629791
US-Wi5,Berkeley,2004,2004,46.6531,-91.0858
US-Wi5,LaThuile,2004,2004,46.65309906,-91.08580017
US-Wi6,Berkeley,2002,2003,46.6249,-91.2982
US-Wi6,LaThuile,2002,2002,46.62490082,-91.29820251
US-Wi7,Berkeley,2005,2005,46.6491,-91.0693
US-Wi7,LaThuile,2005,2005,46.64910126,-91.06929779
US-Wi8,Berkeley,2002,2002,46.7223,-91.2524
US-Wi8,LaThuile,2002,2002,46.72230148,-91.25240326
US-Wi9,Berkeley,2004,2005,46.6188,-91.0814
US-Wi9,LaThuile,2004,2005,46.61880112,-91.08139801
